NCBI.id,name
353134,LCE1D
93210,PGAP3
3992,FADS1
84152,PPP1R1B
27067,STAU2
64399,HHIP
50651,SLC45A1
65986,ZBTB10
79753,SNIP1
688,KLF5
3717,JAK2
388697,HRNR
51735,RAPGEF6
685,BTC
51274,KLF3
11127,KIF3A
64090,GAL3ST2
340152,ZC3H12D
51750,RTEL1
8189,SYMPK
7008,TEF
56603,CYP26B1
3560,IL2RB
51057,WDPCP
944,TNFSF8
5334,PLCL1
96459,FNIP1
192666,KRT24
4862,NPAS2
7803,PTP4A1
11232,POLG2
148156,ZNF558
1293,COL6A3
8722,CTSF
10320,IKZF1
9694,EMC2
9966,TNFSF15
5468,PPARG
1118,CHIT1
10666,CD226
602,BCL3
91137,SLC25A46
143903,LAYN
8648,NCOA1
133584,EGFLAM
57578,UNC79
54790,TET2
6565,SLC15A2
221937,FOXK1
286046,XKR6
8600,TNFSF11
57222,ERGIC1
27244,SESN1
148581,UBE2U
26059,ERC2
4089,SMAD4
5734,PTGER4
7399,USH2A
51776,MAP3K20
6954,TCP11
3553,IL1B
79875,THSD4
3398,ID2
56172,ANKH
115426,UHRF2
133482,SLCO6A1
84885,ZDHHC12
81606,LBH
9258,MFHAS1
93649,MYOCD
23305,ACSL6
3064,HTT
5289,PIK3C3
94025,MUC16
7064,THOP1
4836,NMT1
80017,DGLUCY
57688,ZSWIM6
4430,MYO1B
4686,NCBP1
5325,PLAGL1
140545,RNF32
56986,DTWD1
84890,ADO
83938,LRMDA
84844,PHF5A
2255,FGF10
23075,SWAP70
8607,RUVBL1
5450,POU2AF1
171484,FAM9C
5253,PHF2
1848,DUSP6
4208,MEF2C
80031,SEMA6D
1006,CDH8
2903,GRIN2A
862,RUNX1T1
645369,TMEM200C
79893,GGNBP2
6487,ST3GAL3
627,BDNF
7021,TFAP2B
6657,SOX2
729993,SHISA9
5792,PTPRF
57492,ARID1B
22803,XRN2
58489,ABHD17C
10000,AKT3
80731,THSD7B
10010,TANK
26053,AUTS2
253559,CADM2
56934,CA10
4900,NRGN
55857,KIZ
27327,TNRC6A
83741,TFAP2D
6733,SRPK2
5454,POU3F2
55799,CACNA2D3
80179,MYO19
5099,PCDH7
775,CACNA1C
136332,LRGUK
387103,CENPW
9472,AKAP6
84966,IGSF21
27319,BHLHE22
1806,DPYD
1996,ELAVL4
9442,MED27
79058,ASPSCR1
5924,RASGRF2
79582,SPAG16
29945,ANAPC4
79739,TTLL7
57451,TENM2
10631,POSTN
104,ADARB1
10404,CPQ
2309,FOXO3
64219,PJA1
285672,SREK1IP1
140733,MACROD2
9779,TBC1D5
64084,CLSTN2
150465,TTL
6687,SPG7
84107,ZIC4
11022,TDRKH
53335,BCL11A
81930,KIF18A
4892,NRAP
9863,MAGI2
282974,STK32C
57624,NYAP2
3480,IGF1R
10274,STAG1
91584,PLXNA4
84251,SGIP1
5188,GATB
2072,ERCC4
64131,XYLT1
2104,ESRRG
152404,IGSF11
124842,TMEM132E
57332,CBX8
200734,SPRED2
6496,SIX3
776,CACNA1D
26058,GIGYF2
84643,KIF2B
253769,WDR27
57531,HACE1
54805,CNNM2
88,ACTN2
2802,GOLGA3
2047,EPHB1
58155,PTBP2
389136,VGLL3
83698,CALN1
2260,FGFR1
4916,NTRK3
54796,BNC2
7324,UBE2E1
23201,FAM168A
137835,TMEM71
6857,SYT1
128553,TSHZ2
84726,PRRC2B
9369,NRXN3
338645,LUZP2
196528,ARID2
285877,POM121L12
11148,HHLA2
3908,LAMA2
22807,IKZF2
6092,ROBO2
59338,PLEKHA1
57532,NUFIP2
9904,RBM19
23670,CEMIP2
6326,SCN2A
288,ANK3
221981,THSD7A
108,ADCY2
1687,GSDME
57519,STARD9
10562,OLFM4
9892,SNAP91
26504,CNNM4
5079,PAX5
152330,CNTN4
84334,COA8
26010,SPATS2L
26011,TENM4
23345,SYNE1
1794,DOCK2
51650,MRPS33
22941,SHANK2
128488,WFDC12
8880,FUBP1
55755,CDK5RAP2
23767,FLRT3
55068,ENOX1
25791,NGEF
353267,RAMACL
7511,XPNPEP1
3699,ITIH3
7444,VRK2
2646,GCKR
57556,SEMA6A
10463,SLC30A9
6641,SNTB1
2119,ETV5
483,ATP1B3
366,AQP9
202865,C7orf33
961,CD47
56899,ANKS1B
8805,TRIM24
394,ARHGAP5
3773,KCNJ16
9231,DLG5
287015,TRIM42
63929,XPNPEP3
54510,PCDH18
9957,HS3ST1
26278,SACS
285671,RNF180
157638,LRATD2
90459,ERI1
3131,HLF
460,ASTN1
55604,CARMIL1
286144,TRIQK
10973,ASCC3
6660,SOX5
23613,ZMYND8
285556,C4orf54
2157,F8
7450,VWF
2158,F9
5624,PROC
2155,F7
2160,F11
5627,PROS1
2159,F10
462,SERPINC1
2266,FGG
8546,AP3B1
11093,ADAMTS13
3674,ITGA2B
2147,F2
3690,ITGB3
2243,FGA
7454,WAS
2244,FGB
11234,HPS5
3257,HPS1
89781,HPS4
3426,CFI
84343,HPS3
79803,HPS6
2161,F12
26258,BLOC1S6
4179,CD46
718,C3
3818,KLKB1
3998,LMAN1
2811,GP1BA
2120,ETV6
10235,RASGRP2
84062,DTNBP1
2162,F13A1
2677,GGCX
3827,KNG1
90411,MCFD2
5054,SERPINE1
3053,SERPIND1
8526,DGKE
63915,BLOC1S5
3075,CFH
7456,WIPF1
2165,F13B
5345,SERPINF2
29922,NME7
80133,MROH9
10560,SLC19A2
23555,TSPAN15
92344,GORAB
390113,OR4X1
5308,PITX2
5121,PCP4
200403,VWA3B
55626,AMBRA1
9462,RASAL2
5396,PRRX1
57101,ANO2
7143,TNR
4038,LRP4
120400,NXPE1
23360,FNBP4
55660,PRPF40A
55157,DARS2
79838,TMC5
6403,SELP
22920,KIFAP3
55107,ANO1
92346,C1orf105
2651,GCNT2
7068,THRB
23245,ASTN2
171425,CLYBL
9915,ARNT2
170691,ADAMTS17
54908,SPDL1
10079,ATP9A
79613,TANGO6
121278,TPH2
10954,PDIA5
431707,LHX8
1788,DNMT3A
55811,ADCY10
5520,PPP2R2A
57555,NLGN2
3952,LEP
8831,SYNGAP1
23382,AHCYL2
22871,NLGN1
22839,DLGAP4
3065,HDAC1
271,AMPD2
10768,AHCYL1
4831,NME2
654364,NME1-NME2
4832,NME3
23091,ZC3H13
815,CAMK2A
5290,PIK3CA
4149,MAX
3107,HLA-C
5590,PRKCZ
4775,NFATC3
9228,DLGAP2
2911,GRM1
55312,RFK
27043,PELP1
4830,NME1
26523,AGO1
284161,GDPD1
2885,GRB2
1740,DLG2
22916,NCBP2
990,CDC6
80347,COASY
204,AK2
377841,ENTPD8
80025,PANK2
53354,PANK1
7150,TOP1
9455,HOMER2
2550,GABBR1
10135,NAMPT
4833,NME4
79153,GDPD3
4851,NOTCH1
4893,NRAS
1789,DNMT3B
2796,GNRH1
11317,RBPJL
8899,PRPF4B
2592,GALT
598,BCL2L1
10254,STAM2
7249,TSC2
5693,PSMB5
58512,DLGAP3
5695,PSMB7
3550,IK
496,ATP4B
3852,KRT5
1856,DVL2
4306,NR3C2
4838,NODAL
8697,CDC23
4739,NEDD9
5979,RET
9586,CREB5
662,BNIP1
760,CA2
79778,MICALL2
1876,E2F6
5781,PTPN11
84612,PARD6B
9229,DLGAP1
3240,HP
6604,SMARCD3
5173,PDYN
8677,STX10
10992,SF3B2
27231,NMRK2
10193,RNF41
5692,PSMB4
957,ENTPD5
50808,AK3
60490,PPCDC
57680,CHD8
1399,CRKL
54556,ING3
1039,CDR2
5702,PSMC3
5705,PSMC5
58506,SCAF1
2889,RAPGEF1
115024,NT5C3B
3592,IL12A
3630,INS
9184,BUB3
3297,HSF1
51652,CHMP3
5713,PSMD7
124583,CANT1
23266,ADGRL2
5521,PPP2R2B
955,ENTPD6
635,BHMT
10488,CREB3
5691,PSMB3
8556,CDC14A
79646,PANK3
7536,SF1
28971,AAMDC
368,ABCC6
26090,ABHD12
8310,ACOX3
81569,ACTL8
653857,ACTR3C
9509,ADAMTS2
141,ADPRH
84830,ADTRP
4299,AFF1
445815,PALM2AKAP2
229,ALDOB
284,ANGPT1
63982,ANO3
121601,ANO4
51676,ASB2
51130,ASB3
80816,ASXL3
85300,ATCAY
6310,ATXN1
7917,BAG6
56647,BCCIP
2972,BRF1
55643,BTBD2
55727,BTBD7
114781,BTBD9
644041,C18orf63
127795,C1orf87
140873,C20orf173
152940,C4orf45
133491,C5orf47
773,CACNA1A
863,CBFA2T3
130940,CCDC148
91050,CCDC149
203238,CCDC171
114800,CCDC85A
933,CD22
3732,CD82
926,CD8B
1010,CDH12
10659,CELF2
84984,CEP19
9023,CH25H
84303,CHCHD6
10752,CHL1
10970,CKAP4
1310,COL19A1
1286,COL4A4
81035,COLEC12
10063,COX17
55057,CRYBG2
1434,CSE1L
1496,CTNNA2
606495,CYB5RL
23191,CYFIP1
9420,CYP7B1
1600,DAB1
780,DDR1
27147,DENND2A
55760,DHX32
85455,DISP2
90871,DMAC1
8701,DNAH11
548645,DNAJC25
10072,DPP3
1804,DPP6
80820,EEPD1
374786,EFCAB5
79813,EHMT1
83989,FAM172A
25793,FBXO7
2342,FNTB
54914,FOCAD
80144,FRAS1
166752,FREM3
55691,FRMD4A
2530,FUT8
2560,GABRB1
374378,GALNT18
2650,GCNT1
9837,GINS1
26354,GNL3
29899,GPSM2
2897,GRIK1
2868,GRK4
2917,GRM7
9200,HACD1
3017,H2BC5
9951,HS3ST4
10643,IGF2BP3
8821,INPP4B
284058,KANSL1
23254,KAZN
80333,KCNIP4
54758,KLHDC4
8844,KSR1
3903,LAIR1
4017,LOXL2
145497,LRRC74A
284348,LYPD5
84441,MAML2
161357,MDGA2
23389,MED13L
81857,MED25
4277,MICB
326625,MMAB
4343,MOV10
51253,MRPL37
124540,MSI2
10651,MTX2
23040,MYT1L
23218,NBEAL2
344148,NCKAP5
9348,NDST3
5818,NECTIN1
4774,NFIA
161424,NOP9
9722,NOS1AP
9423,NTN1
390093,OR10A6
81050,OR5AC2
81696,OR5V1
117583,PARD3B
25849,PARM1
25973,PARS2
5137,PDE1C
2923,PDIA3
157310,PEBP4
54965,PIGX
5315,PKM
23236,PLCB1
64091,POPDC2
147699,PPM1N
145376,PPP1R36
5698,PSMB9
5789,PTPRD
5793,PTPRG
150962,PUS10
26064,RAI14
23108,RAP1GAP2
153020,RASGEF1B
9821,RB1CC1
79785,RERGL
6000,RGS7
57414,RHBDD2
162494,RHBDL3
57484,RNF150
6262,RYR2
6263,RYR3
389432,SAMD5
23328,SASH1
10067,SCAMP3
11196,SEC23IP
23544,SEZ6L
57713,SFMBT2
389376,SFTA2
9905,SGSM2
344558,SH3RF3
10246,SLC17A2
29957,SLC25A24
9154,SLC28A1
148641,SLC35F3
221074,SLC39A12
125206,SLC5A10
6578,SLCO2A1
6595,SMARCA2
92017,SNX29
6695,SPOCK1
50859,SPOCK3
55304,SPTLC3
57522,SRGAP1
6480,ST6GAL1
23166,STAB1
57620,STIM2
56977,STOX2
10923,SUB1
442038,SULT1C3
94120,SYTL3
6867,TACC1
6890,TAP1
7098,TLR3
51768,TM7SF3
92293,TMEM132C
54916,TMEM260
57156,TMEM63C
83857,TMTC1
27324,TOX3
22974,TPX2
7726,TRIM26
11074,TRIM31
25987,TSKU
125488,TTC39C
158135,TTLL11
203068,TUBB
56886,UGGT1
54346,UNC93A
7390,UROS
85015,USP45
55031,USP47
7402,UTRN
5212,VIT
7529,YWHAB
23144,ZC3H3
29066,ZC3H7A
79698,ZMAT4
8427,ZNF282
284349,ZNF283
151126,ZNF385B
23090,ZNF423
131368,ZPLD1
649137,ZSCAN5C
23140,ZZEF1
1080,CFTR
2908,NR3C1
10144,FAM13A
57211,ADGRG6
26112,CCDC69
1143,CHRNB4
6331,SCN5A
7042,TGFB2
1306,COL15A1
5915,RARB
642968,FAM163B
8853,ASAP2
6239,RREB1
1135,CHRNA2
23255,MTCL1
5090,PBX3
7356,SCGB1A1
111,ADCY5
217,ALDH2
117581,TWIST2
2996,GYPE
60312,AFAP1
10446,LRRN2
8550,MAPKAPK5
100113407,TMEM170B
4781,NFIB
54897,CASZ1
3658,IREB2
57553,MICAL3
1832,DSP
155185,AMZ1
5685,PSMA4
1009,CDH11
283450,HECTD4
100820829,MYZAP
3752,KCND3
9862,MED24
10288,LILRB2
2994,GYPB
2215,FCGR3B
56913,C1GALT1
2006,ELN
221496,LEMD2
80267,EDEM3
51176,LEF1
9914,ATP2C2
220441,RNF152
6643,SNX2
2202,EFEMP1
166815,TIGD2
80724,ACAD10
6336,SCN10A
79961,DENND2D
3762,KCNJ5
6833,ABCC8
27303,RBMS3
7155,TOP2B
87,ACTN1
8190,MIA
10906,TRAFD1
51807,TUBA8
7222,TRPC3
23177,CEP68
2969,GTF2I
3593,IL12B
3676,ITGA4
3586,IL10
149233,IL23R
7297,TYK2
6774,STAT3
144811,LACC1
2859,GPR35
3460,IFNGR2
26191,PTPN22
55054,ATG16L1
159296,NKX2-3
5771,PTPN2
8477,GPR65
54901,CDKAL1
117289,TAGAP
84629,TNRC18
4485,MST1
55765,INAVA
160857,CCDC122
3595,IL12RB2
11262,SP140
345611,IRGM
3663,IRF5
2355,FOSL2
29949,IL19
10125,RASGRP1
1326,MAP3K8
11116,FGFR1OP
6347,CCL2
4689,NCF4
128611,ZNF831
55024,BANK1
2581,GALC
84870,RSPO3
113,ADCY7
8453,CUL2
11315,PARK7
2353,FOS
639,PRDM1
63892,THADA
163486,DENND1B
124460,SNX20
5155,PDGFB
1540,CYLD
8635,RNASET2
9180,OSMR
79722,ANKRD55
132612,ADAD1
5536,PPP5C
400757,C1orf141
9844,ELMO1
80315,CPEB4
26119,LDLRAP1
246778,IL27
9516,LITAF
1997,ELF1
1439,CSF2RB
55911,APOBR
109,ADCY3
26040,SETBP1
64170,CARD9
6354,CCL7
90355,C5orf30
4318,MMP9
1611,DAP
2212,FCGR2A
1573,CYP2J2
23436,CELA3B
6659,SOX4
64167,ERAP2
23418,CRB1
8767,RIPK2
91869,RFT1
55289,ACOXL
7132,TNFRSF1A
923,CD6
5579,PRKCB
3431,SP110
22904,SBNO2
8651,SOCS1
53347,UBASH3A
3083,HGFAC
6366,CCL21
1847,DUSP5
84072,HORMAD1
9736,USP34
5163,PDK1
100505478,TEX48
2524,FUT2
143162,FRMPD2
4345,CD200
5922,RASA2
441061,MARCHF11
9919,SEC16A
5443,POMC
9145,SYNGR1
11193,WBP4
387357,THEMIS
4790,NFKB1
818,CAMK2G
23315,SLC9A8
6464,SHC1
10318,TNIP1
355,FAS
4261,CIITA
51752,ERAP1
54859,ELP6
2494,NR5A2
54206,ERRFI1
4772,NFATC1
4249,MGAT5
2004,ELK3
85463,ZC3H12C
55007,FAM118A
5711,PSMD5
2308,FOXO1
26015,RPAP1
150280,HORMAD2
7099,TLR4
375743,PTAR1
389421,LIN28B
145173,B3GLCT
54875,CNTLN
2250,FGF5
4898,NRDC
11096,ADAMTS5
51334,PRR16
64326,COP1
9870,AREL1
2100,ESR2
10253,SPRY2
51594,NBAS
1002,CDH4
4883,NPR3
84186,ZCCHC7
7013,TERF1
105,ADARB2
51108,METTL9
23196,FAM120A
388135,INSYN1
3777,KCNK3
2899,GRIK3
493860,CCDC73
54970,TTC12
90187,EMILIN3
1004,CDH6
1007,CDH9
53942,CNTN5
4293,MAP3K9
5101,PCDH9
747,DAGLA
256369,CCDC197
266727,MDGA1
56252,YLPM1
9378,NRXN1
341019,DCDC1
84871,AGBL4
389206,BEND4
9522,SCAMP1
80323,CCDC68
125,ADH1B
134187,POU5F2
9760,TOX
2066,ERBB4
10261,IGSF6
4850,CNOT4
55129,ANO10
55343,SLC35C1
5937,RBMS1
727897,MUC5B
266722,HS6ST3
55827,DCAF6
40,ASIC2
65217,PCDH15
146183,OTOA
6827,SUPT4H1
91,ACVR1B
57528,KCTD16
80212,CCDC92
7482,WNT2B
51268,PIPOX
22989,MYH15
60412,EXOC4
84779,NAA11
391013,PLA2G2C
7299,TYR
161514,TBC1D21
9933,PUM3
285382,C3orf70
1643,DDB2
51305,KCNK9
3207,HOXA11
9848,MFAP3L
3381,IBSP
10082,GPC6
55062,WIPI1
57480,PLEKHG1
65061,CDK15
89797,NAV2
1411,CRYBA1
9553,MRPL33
4591,TRIM37
2850,GPR27
154215,NKAIN2
56987,BBX
147991,DPY19L3
79776,ZFHX4
114795,TMEM132B
3767,KCNJ11
2645,GCK
3643,INSR
3172,HNF4A
6928,HNF1B
7466,WFS1
2740,GLP1R
6514,SLC2A2
222546,RFX6
64897,C12orf43
4724,NDUFS4
169026,SLC30A8
799,CALCR
50674,NEUROG3
3175,ONECUT1
3784,KCNQ1
153,ADRB1
4160,MC4R
5066,PAM
147,ADRA1B
2888,GRB14
3990,LIPC
3953,LEPR
7325,UBE2E2
4544,MTNR1B
283455,KSR2
9365,KL
1504,CTRB1
894,CCND2
8660,IRS2
80339,PNPLA3
7037,TFRC
2922,GRP
2264,FGFR4
10644,IGF2BP2
3667,IRS1
1512,CTSH
1493,CTLA4
8091,HMGA2
440387,CTRB2
2813,GP2
1607,DGKB
55423,SIRPG
9866,TRIM66
9671,WSCD2
7088,TLE1
64641,EBF2
55930,MYO5C
26137,ZBTB20
57666,FBRSL1
6314,ATXN7
4054,LTBP3
2139,EYA2
3156,HMGCR
54855,TENT5C
83795,KCNK16
23338,JADE2
58516,SINHCAF
116150,NUS1
57103,TIGAR
2113,ETS1
56999,ADAMTS9
5122,PCSK1
136259,KLF14
9861,PSMD6
8638,OASL
5236,PGM1
84561,SLC12A8
10363,HMG20A
7227,TRPS1
6344,SCTR
23129,PLXND1
94241,TP53INP1
26086,GPSM1
2081,ERN1
2261,FGFR3
2115,ETV1
389840,MAP3K15
55717,WDR11
53918,PELO
55793,MINDY1
130399,ACVR1C
8761,PABPC4
6506,SLC1A2
23456,ABCB10
595,CCND1
89822,KCNK17
6745,SSR1
79834,PEAK1
5092,PCBD1
10239,AP3S2
116985,ARAP1
3098,HK1
1027,CDKN1B
134359,POC5
26575,RGS17
3672,ITGA1
55294,FBXW7
57178,ZMIZ1
57673,BEND3
1395,CRHR2
3710,ITPR3
284217,LAMA1
816,CAMK2B
100287284,MANSC4
4853,NOTCH2
23051,ZHX3
11142,PKIG
486,FXYD2
84159,ARID5B
29128,UHRF1
57818,G6PC2
157848,NKX6-3
8633,UNC5C
643136,ZC3H11B
23211,ZC3H4
132299,OCIAD2
3097,HIVEP2
286,ANK1
4154,MBNL1
2849,GPR26
